PID,B,L,H,Bx,Ly,ReF,MCODE1,MCODE2,MCODE3
122235,49.001100,8.252600,0.000000,27984.379678,57875.016080,0,0,0,0
122236,49.001100,8.252600,0.000000,27984.379678,57875.016080,0,0,0,0
122237,49.001100,8.252600,0.000000,27984.379678,57875.016080,0,0,0,0
122238,49.001100,8.252600,0.000000,27984.379678,57875.016080,0,0,0,0
122239,49.001100,8.252600,0.000000,27984.379678,57875.016080,0,0,0,0
122240,49.001100,8.252600,0.000000,27984.379678,57875.016080,0,0,0,0
122241,49.001100,8.252600,0.000000,27984.379678,57875.016080,0,0,0,0
122242,49.001100,8.252600,0.000000,27984.379678,57875.016080,0,0,0,0
122243,49.001100,8.252600,0.000000,27984.379678,57875.016080,0,0,0,0
122244,49.001100,8.252600,0.000000,27984.379678,57875.016080,0,0,0,0
122245,49.001100,8.252600,0.000000,27984.379678,57875.016080,0,0,0,0
122246,49.001100,8.252600,0.000000,27984.379678,57875.016080,0,0,0,0
122247,49.001100,8.252600,0.000000,27984.379678,57875.016080,0,0,0,0
122248,49.001100,8.252600,0.000000,27984.379678,57875.016080,0,0,0,0
122249,49.001100,8.252600,0.000000,27984.379678,57875.016080,0,0,0,0
122250,49.001100,8.252600,0.000000,27984.379678,57875.016080,0,0,0,0
122251,49.001100,8.252600,0.000000,27984.379678,57875.016080,0,0,0,0
122252,49.001100,8.252600,0.000000,27984.379678,57875.016080,0,0,0,0
122253,49.001100,8.252600,0.000000,27984.379678,57875.016080,0,0,0,0
122254,49.001100,8.252600,0.000000,27984.379678,57875.016080,0,0,0,0
122255,49.001100,8.252600,0.000000,27984.379678,57875.016080,0,0,0,0
122256,49.001100,8.252600,0.000000,27984.379678,57875.016080,0,0,0,0
122257,49.001100,8.252600,0.000000,27984.379678,57875.016080,0,0,0,0
122258,49.001100,8.252600,0.000000,27984.379678,57875.016080,0,0,0,0
122259,49.001100,8.252600,0.000000,27984.379678,57875.016080,0,0,0,0
122260,49.001100,8.252600,0.000000,27984.379678,57875.016080,0,0,0,0
122261,49.001100,8.252600,0.000000,27984.379678,57875.016080,0,0,0,0
122262,49.001100,8.252600,0.000000,27984.379678,57875.016080,0,0,0,0
122263,49.001100,8.252600,0.000000,27984.379678,57875.016080,0,0,0,0
122264,49.001100,8.252600,0.000000,27984.379678,57875.016080,0,0,0,0
122265,49.001100,8.252600,0.000000,27984.379678,57875.016080,0,0,0,0
122266,49.001100,8.252600,0.000000,27984.379678,57875.016080,0,0,0,0
122267,49.001100,8.252600,0.000000,27984.379678,57875.016080,0,0,0,0
122268,49.001100,8.252600,0.000000,27984.379678,57875.016080,0,0,0,0
122269,49.001100,8.252600,0.000000,27984.379678,57875.016080,0,0,0,0
122270,49.001100,8.252600,0.000000,27984.379678,57875.016080,0,0,0,0
122271,49.001100,8.252600,0.000000,27984.379678,57875.016080,0,0,0,0
122272,49.001100,8.252600,0.000000,27984.379678,57875.016080,0,0,0,0
122273,49.001100,8.252600,0.000000,27984.379678,57875.016080,0,0,0,0
122274,49.001100,8.252600,0.000000,27984.379678,57875.016080,0,0,0,0
122275,49.001100,8.252600,0.000000,27984.379678,57875.016080,0,0,0,0
122276,49.001100,8.252600,0.000000,27984.379678,57875.016080,0,0,0,0
122277,49.001100,8.252600,0.000000,27984.379678,57875.016080,0,0,0,0
122278,49.001100,8.252600,0.000000,27984.379678,57875.016080,0,0,0,0
122279,49.001100,8.252600,0.000000,27984.379678,57875.016080,0,0,0,0
122280,49.001100,8.252600,0.000000,27984.379678,57875.016080,0,0,0,0
122281,49.001100,8.252600,0.000000,27984.379678,57875.016080,0,0,0,0
122282,49.001100,8.252600,0.000000,27984.379678,57875.016080,0,0,0,0
122283,49.001100,8.252600,0.000000,27984.379678,57875.016080,0,0,0,0
122284,49.001100,8.252600,0.000000,27984.379678,57875.016080,0,0,0,0
122285,49.001100,8.252600,0.000000,27984.379678,57875.016080,0,0,0,0
122286,49.001100,8.252600,0.000000,27984.379678,57875.016080,0,0,0,0
122287,49.001100,8.252600,0.000000,27984.379678,57875.016080,0,0,0,0
122288,49.001100,8.252600,0.000000,27984.379678,57875.016080,0,0,0,0
122289,49.001100,8.252600,0.000000,27984.379678,57875.016080,0,0,0,0
122290,49.001100,8.252600,0.000000,27984.379678,57875.016080,0,0,0,0
122291,49.001100,8.252600,0.000000,27984.379678,57875.016080,0,0,0,0
122292,49.001100,8.252600,0.000000,27984.379678,57875.016080,0,0,0,0
122293,49.001100,8.252600,0.000000,27984.379678,57875.016080,0,0,0,0
122294,49.001100,8.252600,0.000000,27984.379678,57875.016080,0,0,0,0
122295,49.001100,8.252600,0.000000,27984.379678,57875.016080,0,0,0,0
122296,49.001100,8.252600,0.000000,27984.379678,57875.016080,0,0,0,0
122297,49.001100,8.252600,0.000000,27984.379678,57875.016080,0,0,0,0
122298,49.001100,8.252600,0.000000,27984.379678,57875.016080,0,0,0,0
122299,49.001100,8.252600,0.000000,27984.379678,57875.016080,0,0,0,0
122300,49.001100,8.252600,0.000000,27984.379678,57875.016080,0,0,0,0
122301,49.001100,8.252600,0.000000,27984.379678,57875.016080,0,0,0,0
122302,49.001100,8.252600,0.000000,27984.379678,57875.016080,0,0,0,0
122303,49.001100,8.252600,0.000000,27984.379678,57875.016080,0,0,0,0
122304,49.001100,8.252600,0.000000,27984.379678,57875.016080,0,0,0,0
122305,49.001100,8.252600,0.000000,27984.379678,57875.016080,0,0,0,0
122306,49.001100,8.252600,0.000000,27984.379678,57875.016080,0,0,0,0
122307,49.001100,8.252600,0.000000,27984.379678,57875.016080,0,0,0,0
122308,49.001100,8.252600,0.000000,27984.379678,57875.016080,0,0,0,0
122309,49.001100,8.252600,0.000000,27984.379678,57875.016080,0,0,0,0
122310,49.001100,8.252600,0.000000,27984.379678,57875.016080,0,0,0,0
122311,49.001100,8.252600,0.000000,27984.379678,57875.016080,0,0,0,0
122312,49.001100,8.252600,0.000000,27984.379678,57875.016080,0,0,0,0
122313,49.001100,8.252600,0.000000,27984.379678,57875.016080,0,0,0,0
122314,49.001100,8.252600,0.000000,27984.379678,57875.016080,0,0,0,0
122315,49.001100,8.252600,0.000000,27984.379678,57875.016080,0,0,0,0
122316,49.001100,8.252600,0.000000,27984.379678,57875.016080,0,0,0,0
122317,49.001100,8.252600,0.000000,27984.379678,57875.016080,0,0,0,0
122318,49.001100,8.252600,0.000000,27984.379678,57875.016080,0,0,0,0
122319,49.001100,8.252600,0.000000,27984.379678,57875.016080,0,0,0,0
122320,49.001100,8.252600,0.000000,27984.379678,57875.016080,0,0,0,0
122321,49.001100,8.252600,0.000000,27984.379678,57875.016080,0,0,0,0
122322,49.001100,8.252600,0.000000,27984.379678,57875.016080,0,0,0,0
122323,49.001100,8.252600,0.000000,27984.379678,57875.016080,0,0,0,0
